participant_id,Item,Verb,Noun,Task,Condition,RT_AJT,Response_AJT,Accuracy_AJT,Correct_AJT,RT_LJT,Response_LJT,Accuracy_LJT,Correct_LJT,Age,Handedness,Vision,LanguagePathology,L1,Fold,Status,Time_taken,Prolific_Age,Sex,Ethnicity_simplified,Country_of_birth,Country_of_residence,Nationality,Language,mAccuracy_AJT,mRT_AJT,mAccuracy_LJT,mRT_LJT,iAccuracy_AJT,iRT_AJT,iAccuracy_LJT,iRT_LJT,VerbFreq,NounFreq,CollFreq,Score,Usage,Verb_Senses,Noun_Senses,Item_PT,Is_Used_PT,Translation_PT,Item_ZH,Is_Used_ZH,Translation_ZH,Item_ML,Is_Used_ML,Translation_ML,Item_RU,Is_Used_RU,Translation_RU,NounConc,VerbConc,VerbItemSimilarity,item_match_key,verb,noun,noun_pl,type,noun_concreteness,snd3,snd10,snd25,snd50,avg_v_sim_to_item,avg_v_sim_to_item_10nouns,avg_v_sim_to_item_50nouns,verb_synset_len,logDice,collocation_freq
P001,abandon buildings,abandon,buildings,AJT,Productive,1029,y,1,y,1194,y,1,y,40,Right,Corrected (I wear contacts/glasses.),No,English,2,APPROVED,427,40,Female,White,United Kingdom,United Kingdom,United Kingdom,English,0.95,961.55,0.9,1108.85,1.0,1175.0,0.956521739130435,1719.47826086957,430978,214649,15935,7.17,abandoned buildings,5,4,abandonar predio,y,pr̩dio abandonado,<U+9057><U+5F03><U+623F><U+5C4B>,y,,kettidum ubekshikkuka,y,kettidumubekshikkuka,<U+0437><U+0430><U+0431><U+0440><U+043E><U+0441><U+0438><U+0442><U+044C> <U+0437><U+0434><U+0430><U+043D><U+0438><U+0435>,y,<U+0437><U+0430><U+0431><U+0440><U+043E><U+0441><U+0438><U+0442><U+044C> <U+0437><U+0434><U+0430><U+043D><U+0438><U+0435>,4.64,2.54,0.91567188501358,abandon buildings,abandon,building,buildings,productive,4.64,193.2,298.76,338.74,361.38,0.9156718850135804,0.8341591358184814,0.8069016933441162,5,7.17,15935
P002,abandon buildings,abandon,buildings,AJT,Productive,1081,y,1,y,1192,y,1,y,66,Right,Corrected (I wear contacts/glasses.),No,English,2,APPROVED,387,66,Female,White,United Kingdom,United Kingdom,United Kingdom,English,1.0,1008.1,1.0,1368.75,1.0,1175.0,0.956521739130435,1719.47826086957,430978,214649,15935,7.17,abandoned buildings,5,4,abandonar predio,y,pr̩dio abandonado,<U+9057><U+5F03><U+623F><U+5C4B>,y,,kettidum ubekshikkuka,y,kettidumubekshikkuka,<U+0437><U+0430><U+0431><U+0440><U+043E><U+0441><U+0438><U+0442><U+044C> <U+0437><U+0434><U+0430><U+043D><U+0438><U+0435>,y,<U+0437><U+0430><U+0431><U+0440><U+043E><U+0441><U+0438><U+0442><U+044C> <U+0437><U+0434><U+0430><U+043D><U+0438><U+0435>,4.64,2.54,0.91567188501358,abandon buildings,abandon,building,buildings,productive,4.64,193.2,298.76,338.74,361.38,0.9156718850135804,0.8341591358184814,0.8069016933441162,5,7.17,15935
P003,abandon buildings,abandon,buildings,AJT,Productive,1540,y,1,y,3600,y,1,y,31,Left,Corrected (I wear contacts/glasses.),No,English,2,APPROVED,426,31,Male,White,United Kingdom,United Kingdom,United Kingdom,English,0.85,1491.45,0.85,2178.25,1.0,1175.0,0.956521739130435,1719.47826086957,430978,214649,15935,7.17,abandoned buildings,5,4,abandonar predio,y,pr̩dio abandonado,<U+9057><U+5F03><U+623F><U+5C4B>,y,,kettidum ubekshikkuka,y,kettidumubekshikkuka,<U+0437><U+0430><U+0431><U+0440><U+043E><U+0441><U+0438><U+0442><U+044C> <U+0437><U+0434><U+0430><U+043D><U+0438><U+0435>,y,<U+0437><U+0430><U+0431><U+0440><U+043E><U+0441><U+0438><U+0442><U+044C> <U+0437><U+0434><U+0430><U+043D><U+0438><U+0435>,4.64,2.54,0.91567188501358,abandon buildings,abandon,building,buildings,productive,4.64,193.2,298.76,338.74,361.38,0.9156718850135804,0.8341591358184814,0.8069016933441162,5,7.17,15935
P004,abandon buildings,abandon,buildings,AJT,Productive,841,y,1,y,1588,y,1,y,26,Left,Normal,No,English,2,APPROVED,340,26,Male,White,United Kingdom,United Kingdom,United Kingdom,English,0.95,1134.45,0.95,1753.1,1.0,1175.0,0.956521739130435,1719.47826086957,430978,214649,15935,7.17,abandoned buildings,5,4,abandonar predio,y,pr̩dio abandonado,<U+9057><U+5F03><U+623F><U+5C4B>,y,,kettidum ubekshikkuka,y,kettidumubekshikkuka,<U+0437><U+0430><U+0431><U+0440><U+043E><U+0441><U+0438><U+0442><U+044C> <U+0437><U+0434><U+0430><U+043D><U+0438><U+0435>,y,<U+0437><U+0430><U+0431><U+0440><U+043E><U+0441><U+0438><U+0442><U+044C> <U+0437><U+0434><U+0430><U+043D><U+0438><U+0435>,4.64,2.54,0.91567188501358,abandon buildings,abandon,building,buildings,productive,4.64,193.2,298.76,338.74,361.38,0.9156718850135804,0.8341591358184814,0.8069016933441162,5,7.17,15935
P005,abandon buildings,abandon,buildings,AJT,Productive,948,y,1,y,1771,y,1,y,57,Right,Corrected (I wear contacts/glasses.),No,English,2,APPROVED,479,57,Male,White,United Kingdom,United Kingdom,United Kingdom,English,1.0,1119.45,0.95,2055.8,1.0,1175.0,0.956521739130435,1719.47826086957,430978,214649,15935,7.17,abandoned buildings,5,4,abandonar predio,y,pr̩dio abandonado,<U+9057><U+5F03><U+623F><U+5C4B>,y,,kettidum ubekshikkuka,y,kettidumubekshikkuka,<U+0437><U+0430><U+0431><U+0440><U+043E><U+0441><U+0438><U+0442><U+044C> <U+0437><U+0434><U+0430><U+043D><U+0438><U+0435>,y,<U+0437><U+0430><U+0431><U+0440><U+043E><U+0441><U+0438><U+0442><U+044C> <U+0437><U+0434><U+0430><U+043D><U+0438><U+0435>,4.64,2.54,0.91567188501358,abandon buildings,abandon,building,buildings,productive,4.64,193.2,298.76,338.74,361.38,0.9156718850135804,0.8341591358184814,0.8069016933441162,5,7.17,15935
P006,abandon buildings,abandon,buildings,AJT,Productive,1151,y,1,y,1399,y,1,y,32,Right,Normal,No,English,2,APPROVED,344,32,Female,White,United Kingdom,United Kingdom,United Kingdom,English,0.9,1126.4,0.6,1227.25,1.0,1175.0,0.956521739130435,1719.47826086957,430978,214649,15935,7.17,abandoned buildings,5,4,abandonar predio,y,pr̩dio abandonado,<U+9057><U+5F03><U+623F><U+5C4B>,y,,kettidum ubekshikkuka,y,kettidumubekshikkuka,<U+0437><U+0430><U+0431><U+0440><U+043E><U+0441><U+0438><U+0442><U+044C> <U+0437><U+0434><U+0430><U+043D><U+0438><U+0435>,y,<U+0437><U+0430><U+0431><U+0440><U+043E><U+0441><U+0438><U+0442><U+044C> <U+0437><U+0434><U+0430><U+043D><U+0438><U+0435>,4.64,2.54,0.91567188501358,abandon buildings,abandon,building,buildings,productive,4.64,193.2,298.76,338.74,361.38,0.9156718850135804,0.8341591358184814,0.8069016933441162,5,7.17,15935
P007,abandon buildings,abandon,buildings,AJT,Productive,1298,y,1,y,1563,y,1,y,64,Right,Corrected (I wear contacts/glasses.),No,English,2,APPROVED,537,64,Female,White,United Kingdom,United Kingdom,United Kingdom,English,0.95,1325.7,0.95,2468.45,1.0,1175.0,0.956521739130435,1719.47826086957,430978,214649,15935,7.17,abandoned buildings,5,4,abandonar predio,y,pr̩dio abandonado,<U+9057><U+5F03><U+623F><U+5C4B>,y,,kettidum ubekshikkuka,y,kettidumubekshikkuka,<U+0437><U+0430><U+0431><U+0440><U+043E><U+0441><U+0438><U+0442><U+044C> <U+0437><U+0434><U+0430><U+043D><U+0438><U+0435>,y,<U+0437><U+0430><U+0431><U+0440><U+043E><U+0441><U+0438><U+0442><U+044C> <U+0437><U+0434><U+0430><U+043D><U+0438><U+0435>,4.64,2.54,0.91567188501358,abandon buildings,abandon,building,buildings,productive,4.64,193.2,298.76,338.74,361.38,0.9156718850135804,0.8341591358184814,0.8069016933441162,5,7.17,15935
P008,abandon buildings,abandon,buildings,AJT,Productive,849,y,1,y,1155,y,1,y,45,Right,Corrected (I wear contacts/glasses.),No,English,2,APPROVED,302,45,Female,White,United Kingdom,United Kingdom,United Kingdom,English,1.0,981.9,0.9,1380.85,1.0,1175.0,0.956521739130435,1719.47826086957,430978,214649,15935,7.17,abandoned buildings,5,4,abandonar predio,y,pr̩dio abandonado,<U+9057><U+5F03><U+623F><U+5C4B>,y,,kettidum ubekshikkuka,y,kettidumubekshikkuka,<U+0437><U+0430><U+0431><U+0440><U+043E><U+0441><U+0438><U+0442><U+044C> <U+0437><U+0434><U+0430><U+043D><U+0438><U+0435>,y,<U+0437><U+0430><U+0431><U+0440><U+043E><U+0441><U+0438><U+0442><U+044C> <U+0437><U+0434><U+0430><U+043D><U+0438><U+0435>,4.64,2.54,0.91567188501358,abandon buildings,abandon,building,buildings,productive,4.64,193.2,298.76,338.74,361.38,0.9156718850135804,0.8341591358184814,0.8069016933441162,5,7.17,15935
P009,abandon buildings,abandon,buildings,AJT,Productive,1366,y,1,y,1321,y,1,y,58,Right,Corrected (I wear contacts/glasses.),No,English,2,APPROVED,336,58,Male,White,United States,United States,United States,English,0.95,1013.7,0.95,1272.3,1.0,1175.0,0.956521739130435,1719.47826086957,430978,214649,15935,7.17,abandoned buildings,5,4,abandonar predio,y,pr̩dio abandonado,<U+9057><U+5F03><U+623F><U+5C4B>,y,,kettidum ubekshikkuka,y,kettidumubekshikkuka,<U+0437><U+0430><U+0431><U+0440><U+043E><U+0441><U+0438><U+0442><U+044C> <U+0437><U+0434><U+0430><U+043D><U+0438><U+0435>,y,<U+0437><U+0430><U+0431><U+0440><U+043E><U+0441><U+0438><U+0442><U+044C> <U+0437><U+0434><U+0430><U+043D><U+0438><U+0435>,4.64,2.54,0.91567188501358,abandon buildings,abandon,building,buildings,productive,4.64,193.2,298.76,338.74,361.38,0.9156718850135804,0.8341591358184814,0.8069016933441162,5,7.17,15935
P010,abandon buildings,abandon,buildings,AJT,Productive,598,y,1,y,1736,y,1,y,33,Right,Corrected (I wear contacts/glasses.),No,English,2,APPROVED,369,33,Male,White,United Kingdom,United Kingdom,United Kingdom,English,1.0,972.25,0.9,1638.8,1.0,1175.0,0.956521739130435,1719.47826086957,430978,214649,15935,7.17,abandoned buildings,5,4,abandonar predio,y,pr̩dio abandonado,<U+9057><U+5F03><U+623F><U+5C4B>,y,,kettidum ubekshikkuka,y,kettidumubekshikkuka,<U+0437><U+0430><U+0431><U+0440><U+043E><U+0441><U+0438><U+0442><U+044C> <U+0437><U+0434><U+0430><U+043D><U+0438><U+0435>,y,<U+0437><U+0430><U+0431><U+0440><U+043E><U+0441><U+0438><U+0442><U+044C> <U+0437><U+0434><U+0430><U+043D><U+0438><U+0435>,4.64,2.54,0.91567188501358,abandon buildings,abandon,building,buildings,productive,4.64,193.2,298.76,338.74,361.38,0.9156718850135804,0.8341591358184814,0.8069016933441162,5,7.17,15935
