Item,Verb,Noun,Condition,iRT_AJT,iAccuracy_AJT,verb,noun,type,noun_concreteness,snd3,snd10,snd25,snd50,avg_v_sim_to_item,avg_v_sim_to_item_10nouns,avg_v_sim_to_item_50nouns,verb_synset_len,logDice,collocation_freq,VerbFreq,NounFreq
smear blood,smear,blood,Productive,1217.47826086957,0.956521739130435,smear,blood,productive,4.86,132.86,194.1,218.83,232.67,0.8638219237327576,0.7523881793022156,0.7118024230003357,4,6.35,2322,430978,214649
smell perfume,smell,perfume,Productive,986.434782608696,1.0,smell,perfume,productive,4.66,55.569,89.838,104.75,115.12,0.8875192999839783,0.8931037783622742,0.8518995046615601,5,8.16,2919,430978,214649
soften skin,soften,skin,Productive,966.130434782609,1.0,soften,skin,productive,4.79,169.4,240.84,276.4,299.07,0.8752766847610474,0.7743687033653259,0.7347486615180969,7,7.29,6229,430978,214649
sow crops,sow,crops,Productive,1267.65217391304,0.869565217391304,sow,crop,productive,4.24,130.57,186.59,211.43,228.77,0.827689528465271,0.7565594911575317,0.782122015953064,3,7.86,5292,430978,214649
spark flame,spark,flame,Productive,1135.34782608696,0.91304347826087,spark,flame,productive,4.67,93.561,139.75,160.47,173.35,0.8935712575912476,0.7087956666946411,0.7740868926048279,2,5.68,1100,430978,214649
spew lava,spew,lava,Productive,1273.04347826087,0.782608695652174,spew,lava,productive,4.82,51.592,80.948,94.118,103.81,0.8652674555778503,0.7576954960823059,0.7480445504188538,3,8.65,1017,430978,214649
spill tea,spill,tea,Productive,982.608695652174,1.0,spill,tea,productive,4.69,72.271,138.59,176.5,199.08,0.8736591935157776,0.8265968561172485,0.7872493267059326,6,7.25,2698,430978,214649
spin thread,spin,thread,Productive,1156.86956521739,0.956521739130435,spin,thread,productive,4.83,107.65,151.12,168.96,178.79,0.8833163976669312,0.7511765956878662,0.7726767063140869,8,6.18,3016,430978,214649
spread butter,spread,butter,Productive,808.130434782609,1.0,spread,butter,productive,4.9,82.231,121.23,150.89,172.76,0.8757482171058655,0.709454357624054,0.7458701729774475,10,5.83,3074,430978,214649
steer boats,steer,boats,Productive,1139.39130434783,1.0,steer,boat,productive,4.93,139.06,231.66,280.03,308.1,0.8699477910995483,0.763018786907196,0.7314944267272949,3,6.66,4211,430978,214649
stifle yawns,stifle,yawns,Productive,1125.65217391304,0.869565217391304,stifle,yawn,productive,4.46,18.722,27.298,31.233,33.744,0.7786876559257507,0.6958333253860474,0.6946372985839844,4,9.5,2819,430978,214649
stimulate brain,stimulate,brain,Productive,1015.73913043478,1.0,stimulate,brain,productive,4.69,120.31,177.7,212.37,233.34,0.8546188473701477,0.7370749115943909,0.7407470941543579,7,7.3,6316,430978,214649
stir mixtures,stir,mixtures,Productive,1626.0,0.91304347826087,stir,mixture,productive,3.79,173.87,303.73,353.4,380.67,0.8693267703056335,0.7630581855773926,0.7555011510848999,8,8.65,9045,430978,214649
strain muscles,strain,muscles,Productive,1040.73913043478,1.0,strain,muscle,productive,4.5,91.117,146.9,175.42,195.22,0.8803375959396362,0.8371037244796753,0.7983694672584534,9,7.5,3831,430978,214649
strike targets,strike,targets,Productive,1048.91304347826,1.0,strike,target,productive,4.11,165.15,233.33,258.47,270.78,0.8917428851127625,0.6899957656860352,0.7395792007446289,21,6.88,9230,430978,214649
string beads,string,beads,Productive,1226.4347826087,0.956521739130435,string,bead,productive,4.9,78.865,116.76,135.58,146.95,0.8547117114067078,0.8419107794761658,0.7968401312828064,7,8.52,2491,430978,214649
swallow pills,swallow,pills,Productive,1015.17391304348,1.0,swallow,pill,productive,4.72,68.926,102.91,117.35,126.85,0.8706486225128174,0.845584511756897,0.7934138178825378,8,9.06,8107,430978,214649
sway hips,sway,hips,Productive,1055.65217391304,1.0,sway,hip,productive,4.21,90.411,129.73,157.16,172.63,0.8424645066261292,0.7422579526901245,0.7344684600830078,4,8.23,2465,430978,214649
sweeten milk,sweeten,milk,Productive,1335.82608695652,0.869565217391304,sweeten,milk,productive,4.92,85.509,138.38,171.6,192.28,0.8414332866668701,0.8231655359268188,0.7873506546020508,2,7.48,2791,430978,214649
swing axes,swing,axes,Productive,1054.78260869565,1.0,swing,axe,productive,5.0,40.835,66.546,80.921,90.326,0.8653646111488342,0.8635702729225159,0.8372895121574402,13,8.05,3085,430978,214649
taste beer,taste,beer,Productive,1122.30434782609,1.0,taste,beer,productive,4.88,74.267,130.5,169.11,196.91,0.8571410179138184,0.83537757396698,0.8267773389816284,6,7.03,4437,430978,214649
throw rocks,throw,rocks,Productive,893.95652173913,1.0,throw,rock,productive,4.91,225.91,320.78,360.6,382.06,0.8783896565437317,0.8134645819664001,0.8069981336593628,15,8.39,33109,430978,214649
twist ankles,twist,ankles,Productive,1155.47826086957,0.91304347826087,twist,ankle,productive,4.81,41.848,89.279,125.92,148.97,0.8810736536979675,0.8278928399085999,0.7904281616210938,10,9.05,5585,430978,214649
unearth fossils,unearth,fossils,Productive,1002.86956521739,1.0,unearth,fossil,productive,4.9,82.179,119.57,136.28,145.49,0.8542999029159546,0.817986249923706,0.803802490234375,2,7.14,748,430978,214649
unleash dogs,unleash,dogs,Productive,1036.73913043478,1.0,unleash,dog,productive,4.85,104.88,197.0,248.38,285.38,0.8678624629974365,0.5741004943847656,0.626743733882904,3,5.41,2534,430978,214649
unlock phones,unlock,phones,Productive,944.0,0.956521739130435,unlock,phone,productive,4.86,132.03,200.44,232.92,254.36,0.8368089199066162,0.7346083521842957,0.7118119597434998,3,8.28,18357,430978,214649
weave baskets,weave,baskets,Productive,1108.60869565217,0.956521739130435,weave,basket,productive,5.0,92.968,137.82,159.48,172.87,0.8921250700950623,0.8293242454528809,0.8097106218338013,4,8.54,7588,430978,214649
